Position, True thickness, Amplitude thickness
nm, nm, nm
, , 5% Noise
  0.000000,  -0.000000,  -0.128086
  0.100000,  -0.000000,  -0.122556
  0.200000,  -0.000000,  -0.101903
  0.300000,  -0.000000,   0.024437
  0.400000,  -0.000000,   0.276594
  0.500000,  -0.000000,   0.319379
  0.600000,  -0.000000,   0.307929
  0.700000,  -0.000000,   0.261932
  0.800000,  -0.000000,   0.225322
  0.900000,  -0.000000,   0.204537
  1.000000,  -0.000000,   0.189725
  1.100000,  -0.000000,   0.174000
  1.200000,  -0.000000,   0.162070
  1.300000,  -0.000000,   0.150342
  1.400000,  -0.000000,   0.130523
  1.500000,  -0.000000,   0.072321
  1.600000,  -0.000000,  -0.136592
  1.700000,  -0.000000,  -0.366606
  1.800000,  -0.000000,  -0.416424
  1.900000,  -0.000000,  -0.384249
  2.000000,  -0.000000,  -0.285122
  2.100000,  -0.000000,  -0.215186
  2.200000,  -0.000000,  -0.195053
  2.300000,  -0.000000,  -0.172993
  2.400000,  -0.000000,  -0.133581
  2.500000,  -0.000000,  -0.085123
  2.600000,  -0.000000,  -0.041288
  2.700000,  -0.000000,  -0.004425
  2.800000,  -0.000000,   0.028851
  2.900000,  -0.000000,   0.051532
  3.000000,  -0.000000,   0.054599
  3.100000,  -0.000000,   0.036378
  3.200000,  -0.000000,  -0.016159
  3.300000,  -0.000000,  -0.063812
  3.400000,  -0.000000,  -0.114418
  3.500000,  -0.000000,  -0.127557
  3.600000,  -0.000000,  -0.131981
  3.700000,  -0.000000,  -0.165557
  3.800000,  -0.000000,  -0.196091
  3.900000,  -0.000000,   0.030483
  4.000000,  -0.000000,   0.156105
  4.100000,  -0.000000,   0.134942
  4.200000,  -0.000000,  -0.013989
  4.300000,  -0.000000,  -0.105581
  4.400000,  -0.000000,  -0.108747
  4.500000,  -0.000000,  -0.095406
  4.600000,  -0.000000,  -0.047743
  4.700000,  -0.000000,  -0.005013
  4.800000,  -0.000000,  -0.015720
  4.900000,  -0.000000,  -0.020613
  5.000000,  -0.000000,  -0.004946
  5.100000,  -0.000000,   0.143600
  5.200000,  -0.000000,   0.306440
  5.300000,  -0.000000,   0.333977
  5.400000,  -0.000000,   0.339523
  5.500000,  -0.000000,   0.327505
  5.600000,  -0.000000,   0.271048
  5.700000,  -0.000000,   0.226946
  5.800000,  -0.000000,   0.238050
  5.900000,  -0.000000,   0.232358
  6.000000,  -0.000000,   0.215915
  6.100000,  -0.000000,   0.181701
  6.200000,  -0.000000,   0.176697
  6.300000,  -0.000000,  -0.182683
  6.400000,  -0.000000,  -0.436516
  6.500000,  -0.000000,  -0.429284
  6.600000,  -0.000000,  -0.334173
  6.700000,  -0.000000,  -0.165855
  6.800000,  -0.000000,  -0.107397
  6.900000,  -0.000000,  -0.108768
  7.000000,  -0.000000,  -0.224051
  7.100000,  -0.000000,  -0.288107
  7.200000,  -0.000000,  -0.179257
  7.300000,  -0.000000,   0.347877
  7.400000,  -0.000000,   0.445605
  7.500000,  -0.000000,   0.411073
  7.600000,  -0.000000,   0.141737
  7.700000,  -0.000000,  -0.163715
  7.800000,  -0.000000,  -0.201203
  7.900000,  -0.000000,  -0.215947
  8.000000,  -0.000000,  -0.229063
  8.100000,  -0.000000,  -0.260190
  8.200000,  -0.000000,  -0.611063
  8.300000,  -0.000000,  -0.694396
  8.400000,  -0.000000,  -0.692789
  8.500000,  -0.000000,  -0.672817
  8.600000,  -0.000000,  -0.660788
  8.700000,  -0.000000,  -0.674662
  8.800000,  -0.000000,  -0.713663
  8.900000,   0.000003,  -0.728755
  9.000000,   0.000009,  -0.720902
  9.100000,   0.000021,  -0.689185
  9.200000,   0.000042,  -0.576068
  9.300000,   0.000075,  -0.309146
  9.400000,   0.000124,  -0.041002
  9.500000,   0.000198,   0.107714
  9.600000,   0.000306,   0.039834
  9.700000,   0.000460,  -0.167833
  9.800000,   0.000678,  -0.290101
  9.900000,   0.000984,  -0.364951
 10.000000,   0.001406,  -0.376186
 10.100000,   0.001983,  -0.366054
 10.200000,   0.002765,  -0.340902
 10.300000,   0.003813,  -0.313021
 10.400000,   0.005204,  -0.277246
 10.500000,   0.007035,  -0.225027
 10.600000,   0.009421,  -0.117097
 10.700000,   0.012503,   0.189790
 10.800000,   0.016448,   0.564675
 10.900000,   0.021451,   0.545210
 11.000000,   0.027740,  -0.036477
 11.100000,   0.035578,  -0.192861
 11.200000,   0.045260,  -0.164367
 11.300000,   0.057117,  -0.080065
 11.400000,   0.071514,   0.079160
 11.500000,   0.088847,   0.125384
 11.600000,   0.109540,   0.137135
 11.700000,   0.134041,   0.145190
 11.800000,   0.162813,   0.166465
 11.900000,   0.196331,   0.262001
 12.000000,   0.235066,   0.382516
 12.100000,   0.279481,   0.411761
 12.200000,   0.330020,   0.369426
 12.300000,   0.387092,   0.323584
 12.400000,   0.451069,   0.285841
 12.500000,   0.522266,   0.242176
