V_rec - V_true, 0.1 V, 0.4 V, 0.7 V, 1.0 V, Gaussian, 0.1 V, 0.4 V, 0.7 V, 1.0 V, Gaussian, 0.1 V, 0.4 V, 0.7 V, 1.0 V, Gaussian, 0.1 V, 0.4 V, 0.7 V, 1.0 V, Gaussian
V, Number, Number, Number, Number, Number, Number, Number, Number, Number, Number, Number, Number, Number, Number, Number, Number, Number, Number, Number, Number
, 2% Noise, 2% Noise, 2% Noise, 2% Noise, 2% Noise, 5% Noise, 5% Noise, 5% Noise, 5% Noise, 5% Noise, 10% Noise, 10% Noise, 10% Noise, 10% Noise, 10% Noise, 20% Noise, 20% Noise, 20% Noise, 20% Noise, 20% Noise
 -0.500000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.025977
 -0.480000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.046062
 -0.460000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.079943
 -0.440000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.135802
 -0.420000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.225801
 -0.400000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   1.000000,   1.000000,   1.000000,   1.000000,   0.367481
 -0.380000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   1.000000,   1.000000,   1.000000,   1.000000,   0.585375
 -0.360000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   1.000000,   1.000000,   0.912691
 -0.340000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   3.000000,   3.000000,   3.000000,   4.000000,   1.392849
 -0.320000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   1.000000,   1.000000,   4.000000,   4.000000,   2.080533
 -0.300000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000003,   0.000000,   0.000000,   2.000000,   4.000000,   3.041833
 -0.280000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000029,   2.000000,   2.000000,   2.000000,   3.000000,   4.352980
 -0.260000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000223,   7.000000,   7.000000,   9.000000,  11.000000,   6.097170
 -0.240000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.001500,   1.000000,   1.000000,   1.000000,   3.000000,   8.359115
 -0.220000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.008728,   3.000000,   5.000000,   5.000000,   7.000000,  11.217155
 -0.200000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.044029,   6.000000,   7.000000,   8.000000,  12.000000,  14.733146
 -0.180000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.192487,   4.000000,   6.000000,   8.000000,  13.000000,  18.940815
 -0.160000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000011,   1.000000,   1.000000,   1.000000,   1.000000,   0.729328,   3.000000,   9.000000,  12.000000,  13.000000,  23.833741
 -0.140000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000593,   1.000000,   1.000000,   1.000000,   1.000000,   2.394957,   1.000000,   3.000000,   6.000000,  13.000000,  29.354598
 -0.120000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.019322,   0.000000,   4.000000,   4.000000,   4.000000,   6.815940,   8.000000,  14.000000,  20.000000,  35.000000,  35.387547
 -0.100000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.370333,   1.000000,  11.000000,  14.000000,  15.000000,  16.811543,   4.000000,  12.000000,  12.000000,  30.000000,  41.755642
 -0.080000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   3.000000,   4.178441,   1.000000,  17.000000,  25.000000,  30.000000,  35.937095,   6.000000,  18.000000,  27.000000,  36.000000,  48.224779
 -0.060000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000341,   3.000000,  10.000000,  16.000000,  27.000000,  27.753887,   1.000000,  19.000000,  29.000000,  41.000000,  66.578192,   5.000000,  14.000000,  20.000000,  34.000000,  54.514962
 -0.040000,   1.000000,   1.000000,   1.000000,   1.000000,   0.930943,   5.000000,  18.000000,  48.000000,  77.000000, 108.522787,   9.000000,  28.000000,  52.000000,  73.000000, 106.899246,   7.000000,  15.000000,  28.000000,  47.000000,  60.318643
 -0.020000,  26.000000,  55.000000,  91.000000, 134.000000, 117.031864,  41.000000, 115.000000, 180.000000, 228.000000, 249.807596,  26.000000,  46.000000,  85.000000, 139.000000, 148.754774,   4.000000,  20.000000,  33.000000,  62.000000,  65.324755
  0.000000, 172.000000, 346.000000, 517.000000, 683.000000, 677.769094,  68.000000, 153.000000, 238.000000, 339.000000, 338.515009,  44.000000,  82.000000, 131.000000, 188.000000, 179.399326,   8.000000,  19.000000,  36.000000,  54.000000,  69.245955
  0.020000,  49.000000, 100.000000, 140.000000, 184.000000, 180.823893,  64.000000, 111.000000, 171.000000, 219.000000, 270.046033,  31.000000,  79.000000, 108.000000, 160.000000, 187.509952,  11.000000,  33.000000,  50.000000,  66.000000,  71.845803
  0.040000,   8.000000,  10.000000,  19.000000,  22.000000,   2.222421,  44.000000,  71.000000,  79.000000,  90.000000, 126.819273,  32.000000,  76.000000, 110.000000, 130.000000, 169.856222,  11.000000,  30.000000,  49.000000,  66.000000,  72.962345
  0.060000,   0.000000,   0.000000,   0.000000,   0.000000,   0.001258,  20.000000,  22.000000,  24.000000,  27.000000,  35.060677,  38.000000,  61.000000,  81.000000, 103.000000, 133.349755,  11.000000,  33.000000,  62.000000,  73.000000,  72.524801
  0.080000,   0.000000,   0.000000,   0.000000,   0.000000,   0.000000,   7.000000,   8.000000,   8.000000,  10.000000,   5.706147,  25.000000,  38.000000,  57.000000,  63.000000,  90.731190,  13.000000,  30.000000,  45.000000,  60.000000,  70.560995
